title,University,Degree,Fees
Global Marketing Management,accadis Hochschule - University of Applied Sciences Bad Homburg,M.A. / Full-time / On Campus,"563,260,595 IRR / year"
Microbiology,Carl von Ossietzky University of Oldenburg,Master / Full-time / On Campus,"38,317,047 IRR / year"
Molecular Plant and Microbial Sciences,University of Cologne,M.Sc. / Full-time / On Campus,Free
International Security Management,Berlin School of Economics and Law,M.A. / Full-time / On Campus,Free
High-Performance Sport,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Media and Communication Management,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
"Molecular Life Sciences - Microbiology, Biotechnology and Biochemistry",University of Göttingen,M.Sc. / Full-time / On Campus,Free
Marketing,Bonn-Rhein-Sieg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Financial Risk Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
Geographical Environmental Research,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Bioanalytical Chemistry and Pharmaceutical Analysis (Part-Time),Fresenius University of Applied Sciences,M.Sc. / Part-time / On Campus,"29,695,712 IRR / module"
Expanded Media,Darmstadt University of Applied Sciences,M.A. / Full-time / On Campus,Free
Environmental Management,University of Kiel,M.Sc. / Full-time / On Campus,Free
"World Studies - Orders, Politics, Cultures",Bielefeld University,M.A. / Full-time / On Campus,Free
Construction and Real Estate Management,HTW Berlin,M.Sc. / Full-time / On Campus,Free
Automation and IT,TH Köln (University of Applied Sciences),"M.Eng. / Full-time, Part-time / On Campus","32,090,527 IRR / year"
Agricultural Sciences and Resource Management in the Tropics and Subtropics,University of Bonn,M.Sc. / Full-time / On Campus,Free
Public Management,University of Applied Sciences Kehl,M.A. / Full-time / On Campus,"47,896,309 IRR / year"
Enterprise and IT Security,Offenburg University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Modern South- and Southeast Asian Studies,Humboldt University Berlin,M.A. / Full-time / On Campus,Free
Chinese Studies,Leipzig University,"M.A. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Forest and Ecosystem Sciences - Tropical and International Forestry,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Molecular Medicine,Charité - Universitätsmedizin Berlin,Master / Full-time / On Campus,"239,481,545 IRR / year"
Aviation and Tourism Management,Frankfurt University of Applied Science,M.B.A. / Part-time / On Campus,"476,568,276 IRR / year"
Global Management,Hof University of Applied Sciences,M.A. / Full-time / On Campus,Free
International Management and Information Systems,South Westphalia University of Applied Sciences,M.A. / Part-time / Online,"210,743,760 IRR / year"
"Public Health, Exercise, and Nutrition",University of Potsdam,M.Sc. / Full-time / On Campus,Free
Sustainable Management and Technology,Technical University of Munich,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
International Management,Karlsruhe University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Impact MSc in AI for Sustainable Innovation,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Biology,University of Regensburg,Master / Full-time / On Campus,Free
Wind Engineering,Flensburg University of Applied Sciences,M.Sc. / Full-time / On Campus,"21,649,132 IRR / year"
Integrated Water Resources Management,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Master of Business Administration,PFH Private University of Applied Sciences,M.B.A. / Full-time / On Campus,"569,008,152 IRR / year"
QEM - Models and Methods of Quantitative Economics,Panthéon-Sorbonne University,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
International Trade,Anhalt University of Applied Sciences,M.B.A. / Full-time / On Campus,"143,688,927 IRR / year"
International Food Business and Consumer Studies,Fulda University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
International Technical Communication,Flensburg University of Applied Sciences,M.A. / Full-time / On Campus,"21,649,132 IRR / year"
Integrated Design,Anhalt University of Applied Sciences,M.A. / Full-time / On Campus,"76,634,095 IRR / year"
Design Management,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
International Master of Biomedicine,Johannes Gutenberg University Mainz,M.Sc. / Full-time / On Campus,Free
Agrobiotechnology,Justus Liebig University Giessen,M.Sc. / Full-time / On Campus,Free
Marketing,Macromedia University of Applied Sciences,M.B.A. / Full-time / On Campus,"655,221,508 IRR / year"
Artificial Intelligence,The Brandenburg University of Technology Cottbus - Senftenberg,M.Sc. / Full-time / On Campus,"32,665,283 IRR / year"
Logistics and Supply Chain Management,Lancaster University Leipzig,M.Sc. / Full-time / On Campus,"1,125,563,264 IRR / year"
World Heritage Studies,The Brandenburg University of Technology Cottbus - Senftenberg,"M.A. / Full-time, Part-time / Online","32,665,283 IRR / year"
Marketing Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
Biomedical Engineering,Lübeck University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Management and Leadership,accadis Hochschule - University of Applied Sciences Bad Homburg,M.B.A. / Full-time / On Campus,"833,395,778 IRR / year"
Biochemistry,TU Dresden,M.Sc. / Full-time / On Campus,Free
Technical Management,Heilbronn University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Neurosciences,University of Bremen,M.Sc. / Full-time / On Campus,Free
International Management,Reutlingen University,M.B.A. / Full-time / On Campus,"306,536,378 IRR / year"
Marketing Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
IT Security,University of Lübeck,M.Sc. / Full-time / On Campus,Free
Social Work as a Human Rights Profession,Alice Salomon University of Applied Sciences,M.Sc. / Full-time / Blended,"252,892,512 IRR / year"
Sensor Systems Technology,Karlsruhe University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Marketing and Communication,Heilbronn University of Applied Sciences,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Marketing International Programme,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Management in Nonprofit-Organisations,Osnabrück University of Applied Sciences,M.A. / Full-time / On Campus,"33,527,416 IRR / year"
Biomechanical Engineering,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,Free
Global Trade Management,University of Applied Sciences Worms,M.A. / Full-time / On Campus,Free
International Business,TH Köln (University of Applied Sciences),M.A. / Full-time / On Campus,"32,090,527 IRR / year"
Technical Management,University of Applied Sciences Emden/leer,M.Eng. / Full-time / On Campus,"572,839,857 IRR / year"
International Public Health Management,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Impact MSc in Sustainable Innovation and Growth Management,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Economics,University of Kiel,M.Sc. / Full-time / On Campus,Free
Aerospace Engineering,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
Impact MSc in Data Leadership in Sustainable Innovation,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Digital Business Management,Pforzheim University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Medical Biometry - Biostatistics,University of Bremen,M.Sc. / Full-time / On Campus,Free
Impact MSc in Actionable Data Solutions for Sustainability,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Economics,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,"367,173,106 IRR / year"
Impact MSc in Data Leadership in Sustainable Innovation,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"383,170,473 IRR / year"
Bioeconomy,Technical University of Munich,M.Sc. / Full-time / On Campus,"14,704,167 IRR / module"
Impact MBA in Sustainability-Focused Innovation Management,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","367,173,106 IRR / year"
Impact MSc in Digital Transformation for Sustainable Impact,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"32,090,527 IRR / year"
Integrated Design,TH Köln (University of Applied Sciences),M.A. / Full-time / On Campus,Free
Bionics,Rhine-Waal University of Applied Sciences,M.Sc. / Full-time / On Campus,"563,260,595 IRR / year"
Strategic Sustainability Management,accadis Hochschule - University of Applied Sciences Bad Homburg,M.A. / Full-time / On Campus,"367,173,106 IRR / year"
Impact MSc in Data-Driven Social Innovation,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"574,755,709 IRR / year"
Asset Management,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,Free
Mechanical Engineering,Rhine-Waal University of Applied Sciences,M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Digital Narratives,TH Köln (University of Applied Sciences),Master / Full-time / Blended,"617,862,387 IRR / year"
Project Management,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"550,807,555 IRR / year"
Impact MSc in Emerging Technologies for Sustainability,Tomorrow University of Applied Sciences,"M.Sc. / Part-time / Online, On Campus",Free
MBA Artificial Intelligence (On-Campus),IU International University of Applied Sciences,M.B.A. / Full-time / On Campus,"282,588,224 IRR / year"
Mathematics,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Digital Business Management,Nürtingen-Geislingen University (HfWU),M.Sc. / Part-time / Online,"332,065,111 IRR / year"
Visual and Experience Design,"University of Europe for Applied Sciences, Germany",M.A. / Full-time / On Campus,"574,755,709 IRR / year"
Impact MSc in Data-Driven Solutions for Global Sustainability,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Double Master's Programme in Demography and Social Inequality,University of Cologne,M.Sc. / Full-time / On Campus,Free
Global Political Economy and Development,University of Kassel,Master / Full-time / On Campus,"32,665,283 IRR / year"
Intercultural Theology,University of Göttingen,M.A. / Full-time / On Campus,Free
Innovation Design Management,"University of Europe for Applied Sciences, Germany",M.A. / Full-time / On Campus,"574,755,709 IRR / year"
Impact MBA in Sustainable Business Transformation,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Impact MSc in Data Analytics for Circular Economy,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Smart City Solutions,University of Applied Sciences Stuttgart,"M.Eng. / Full-time, Part-time / On Campus","319,276,796 IRR / year"
Business Administration,Macromedia University of Applied Sciences,M.B.A. / Full-time / On Campus,"655,221,508 IRR / year"
General Management,Hof University of Applied Sciences,M.B.A. / Full-time / On Campus,"316,115,640 IRR / year"
Renewable Energy Systems - Environmental and Process Engineering,Hamburg University of Applied Sciences,M.Eng. / Full-time / On Campus,Free
International Management,Niederrhein University of Applied Sciences,Master / Full-time / On Campus,"34,389,550 IRR / year"
Sociology,University of Mannheim,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
"Politics, Administration and International Relations",Zeppelin University,M.A. / Full-time / On Campus,"589,124,602 IRR / year"
Neuroscience,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Research on Teaching and Learning,Technical University of Munich,M.Ed. / Full-time / On Campus,Free
Finance and Information Management,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Global Technology and Innovation Management and Entrepreneurship,Hamburg University of Technology,M.Sc. / Full-time / On Campus,"311,326,009 IRR / year"
Governance of Risk and Resources,Heidelberg University,M.Sc. / Full-time / On Campus,"239,481,545 IRR / year"
Process Safety and Environmental Engineering,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,Free
Comparative Public Governance,University of Münster,M.A. / Full-time / On Campus,"682,522,405 IRR / year"
Taxation,Mainz University of Applied Sciences,LL.M. / Part-time / On Campus,"232,297,099 IRR / year"
Molecular Biotechnology,Anhalt University of Applied Sciences,M.Sc. / Full-time / On Campus,"55,559,719 IRR / year"
Animation and Game Direction,Darmstadt University of Applied Sciences,M.A. / Full-time / On Campus,Free
Biochemical Engineering (Fast Track),Fresenius University of Applied Sciences,M.Eng. / Full-time / On Campus,"46,459,420 IRR / module"
Shipping and Logistics,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"617,862,387 IRR / year"
Project Management International Programme,"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
"Impact MBA in Sustainability, Innovation and Leadership",Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Operational Excellence,Hof University of Applied Sciences,Master / Full-time / On Campus,"316,115,640 IRR / year"
European Master in Medical Technology and Healthcare Business,Hamburg University of Applied Sciences,M.Sc. / Full-time / On Campus,"372,154,322 IRR / year"
Electrical Energy Systems and Electromobility,University of Applied Sciences Ulm,M.Eng. / Full-time / On Campus,"143,688,927 IRR / year"
Engineering Physics,Carl von Ossietzky University of Oldenburg,Master / Full-time / On Campus,"38,317,047 IRR / year"
Sustainable Landscape Design and Development,Ostwestfalen - Lippe University of Applied Sciences,M.A. / Full-time / On Campus,Free
Psychology (Coaching and Counseling),"University of Europe for Applied Sciences, Germany",M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Architectural and Cultural Heritage,Anhalt University of Applied Sciences,M.A. / Full-time / On Campus,"71,844,464 IRR / year"
Climate Change Management,Weihenstephan-Triesdorf University of Applied Sciences,M.Sc. / Full-time / On Campus,"14,560,478 IRR / year"
Impact MBA in Green Marketing and Innovation,Tomorrow University of Applied Sciences,"M.B.A. / Full-time, Part-time / Online","14,704,167 IRR / module"
Digital Economics,Karlsruhe Institute of Technology (KIT),M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Public Policy,Hertie School Berlin,Master / Full-time / On Campus,"898,055,796 IRR / year"
Management of Textile Trade and Technology,Niederrhein University of Applied Sciences,M.Sc. / Full-time / On Campus,"34,389,550 IRR / year"
Master of Business Administration,"University of Europe for Applied Sciences, Germany",M.B.A. / Full-time / On Campus,"646,600,173 IRR / year"
European Master in Lexicography (EMLex),Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.A. / Full-time / On Campus,Free
Sport and Exercise Sciences for Health and Performance,Ruhr University Bochum,Master / Full-time / On Campus,Free
North American Studies,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Biophysics,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
"Artificial Intelligence, Technology and Sustainability",Tomorrow University of Applied Sciences,"M.Sc. / Full-time, Part-time / Online, Blended","359,222,318 IRR / year"
Entrepreneurship,University of Applied Sciences Worms,M.A. / Full-time / On Campus,Free
"Global Food, Nutrition and Health",University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
International Master of Landscape Architecture,Weihenstephan-Triesdorf University of Applied Sciences,M.Eng. / Full-time / On Campus,"71,844,464 IRR / year"
International Media Cultural Work,Darmstadt University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
"Politics, Economics, Philosophy",University of Hamburg,M.Sc. / Full-time / On Campus,Free
Peace and Conflict Studies,Philip University in Marburg,M.A. / Full-time / On Campus,"38,700,218 IRR / year"
Renewable Energy and E-Mobility,Hochschule Stralsund - University of Applied Sciences,M.Eng. / Full-time / On Campus,Free
"Atlantic Studies in History, Culture and Society",Leibniz University Hannover,Master / Full-time / On Campus,"41,095,033 IRR / year"
Advanced Synthesis and Catalysis,University of Regensburg,M.Sc. / Full-time / On Campus,Free
Mind and Brain,Humboldt University Berlin,Master / Full-time / On Campus,Free
International Management,accadis Hochschule - University of Applied Sciences Bad Homburg,M.A. / Full-time / On Campus,"563,260,595 IRR / year"
Physical Geography: Climate and Environmental Sciences,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Integrated Design,Ostwestfalen - Lippe University of Applied Sciences,M.Eng. / Full-time / On Campus,Free
Communication Systems and Networks,TH Köln (University of Applied Sciences),M.Sc. / Full-time / On Campus,"32,090,527 IRR / year"
Precision Medicine Diagnostics,Furtwangen University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Architecture (DIA),Anhalt University of Applied Sciences,M.A. / Full-time / On Campus,"81,423,725 IRR / year"
Generative Design and AI,"University of Europe for Applied Sciences, Germany",M.A. / Full-time / On Campus,"574,755,709 IRR / year"
Chemistry,University of Bonn,M.Sc. / Full-time / On Campus,Free
Electronics Engineering,Hochschule Bremen,M.Sc. / Full-time / On Campus,Free
"Biodiversity, Ecology and Evolution",University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Innovation Management - specialisation in Start-up,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
Design Research,Anhalt University of Applied Sciences,M.Sc. / Full-time / On Campus,"119,740,773 IRR / year"
Digital Media Business,Macromedia University of Applied Sciences,M.A. / Full-time / On Campus,"655,221,508 IRR / year"
Sustainable Renewable Energy Technologies,Carl von Ossietzky University of Oldenburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Sociology,Bielefeld University,M.A. / Full-time / On Campus,Free
Business Administration,Berlin International University of Applied Sciences,M.B.A. / Full-time / On Campus,"622,652,018 IRR / year"
Engineering of Socio-Technical Systems,Carl von Ossietzky University of Oldenburg,Master / Full-time / On Campus,"38,317,047 IRR / year"
Food Quality and Safety,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
International Business,Mainz University of Applied Sciences,M.A. / Full-time / On Campus,"29,216,749 IRR / year"
Environmental Toxicology,University of Duisburg-Essen,M.Sc. / Full-time / On Campus,Free
Business Law,Mainz University of Applied Sciences,LL.M. / Part-time / Blended,"223,484,178 IRR / year"
Finance,accadis Hochschule - University of Applied Sciences Bad Homburg,M.Sc. / Full-time / On Campus,"563,260,595 IRR / year"
Food Quality and Safety,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
International Management and Psychology,Rhine-Waal University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
European Master in Landscape Architecture,Leibniz University Hannover,Master / Full-time / On Campus,"20,547,517 IRR / year"
"Cellular and Immunological Biosciences - From Single Cells to Plants, Animals and Humans",University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Mechatronics,Munich University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus","8,142,373 IRR / year"
Automotive Systems,Esslingen University of Applied Sciences,M.Eng. / Full-time / On Campus,"143,688,927 IRR / year"
Biology,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Micro and Nanotechnologies,Ilmenau University of Technology,M.Sc. / Full-time / On Campus,Free
Economics and Finance,Rhine-Waal University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
English and American Studies,Chemnitz University of Technology,M.Sc. / Full-time / On Campus,"28,258,822 IRR / year"
Korean Studies and East Asian Studies,Freie Universität Berlin,M.A. / Full-time / On Campus,Free
Global Business Management,accadis Hochschule - University of Applied Sciences Bad Homburg,M.A. / Full-time / On Campus,"660,969,066 IRR / year"
Dependency and Slavery Studies,University of Bonn,M.A. / Full-time / On Campus,Free
Business Administration,EBS University of Business and Law,M.B.A. / Full-time / On Campus,"1,426,352,085 IRR / year"
Logistics and Supply Chain Management,Technical University of Applied Sciences Wildau,M.Eng. / Full-time / On Campus,"316,115,640 IRR / year"
Biomedicine (Fast track),Fresenius University of Applied Sciences,M.Sc. / Full-time / On Campus,"46,459,420 IRR / module"
International Automotive Engineering,FH Aachen - University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Brand Strategy,Brand University of Applied Sciences,M.A. / Full-time / On Campus,"1,037,913,018 IRR / year"
Materials Chemistry and Mineralogy,University of Bremen,M.Sc. / Full-time / On Campus,Free
Forest Information Technology,Eberswalde University for Sustainable Development,M.Sc. / Full-time / On Campus,Free
Multilingualism,University of Konstanz,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
Translational Neuroscience,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Forest Information Technology,Eberswalde University for Sustainable Development,M.Sc. / Full-time / On Campus,Free
Materials Chemistry and Mineralogy,University of Bremen,M.Sc. / Full-time / On Campus,Free
Water Resources and Environmental Management,Leibniz University Hannover,M.Sc. / Full-time / On Campus,"41,095,033 IRR / year"
American Studies,Heidelberg University,M.A. / Full-time / On Campus,"143,688,927 IRR / year"
East Asian Studies - Modern Sinology,University of Göttingen,M.A. / Full-time / On Campus,Free
Standards of Decision - Making Across Cultures,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.A. / Full-time / On Campus,Free
Biochemistry,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Innovation Management - specialisation in Digitalisation,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
Electrical Engineering and Embedded Systems,University of Applied Sciences Ravensburg-Weingarten,M.Eng. / Full-time / On Campus,"143,688,927 IRR / year"
Biological Resources,Rhine-Waal University of Applied Sciences,"M.Sc. / Full-time, Part-time / On Campus",Free
Managing Global Dynamics,University of Applied Sciences Würzburg-Schweinfurt,M.A. / Full-time / On Campus,Free
Digital Business Strategy,accadis Hochschule - University of Applied Sciences Bad Homburg,M.A. / Full-time / On Campus,"563,260,595 IRR / year"
"Mind, Brain and Behavior",Justus Liebig University Giessen,M.Sc. / Full-time / On Campus,Free
Impact MSc in Data Analytics for Renewable Energy,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Interior Design,Berlin International University of Applied Sciences,M.A. / Full-time / On Campus,"531,649,031 IRR / year"
Sustainable Textiles,Hof University of Applied Sciences,M.Eng. / Full-time / On Campus,Free
Energy and Environmental Management - Developing Countries,University of Flensburg,M.Eng. / Full-time / On Campus,Free
Biochemistry and Biophysics,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Molecular Medicine,Goethe University Frankfurt,M.Sc. / Full-time / On Campus,Free
Biochemistry and Biophysics,University of Freiburg,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Climate Physics,University of Kiel,M.Sc. / Full-time / On Campus,Free
Double Master's Programme in Economics,University of Cologne,M.Sc. / Full-time / On Campus,Free
North American Studies,Philip University in Marburg,M.A. / Full-time / On Campus,"38,700,218 IRR / year"
Technology Management,NIT Northern Institute of Technology Management in cooperation with the Hamburg University of Technology (TUHH),Master / Full-time / On Campus,"640,613,134 IRR / year"
Chemical and Biological Engineering,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
Physics,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Moving Cultures - Transcultural Encounters,Goethe University Frankfurt,M.A. / Full-time / On Campus,Free
Business Analytics,WHU - Otto Beisheim School of Management,M.Sc. / Full-time / On Campus,"1,088,635,209 IRR / year"
Usability Engineering,Rhine-Waal University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
British Studies,University of Regensburg,Master / Full-time / On Campus,Free
Geobiology and Paleobiology,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Molecular Biosciences and Productive Biosystems,TU Dresden,M.Sc. / Full-time / On Campus,Free
Global Business Development,Kempten University of Applied Sciences - Professional School of Business & Technology,M.A. / Full-time / On Campus,Free
Crop Protection,University of Göttingen,M.Sc. / Full-time / On Campus,Free
Mathematics in Business and Economics,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
Process Engineering,Hamburg University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
Advanced Quantum Physics,University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,Free
Financial Engineering,University of Kaiserslautern-Landau,M.Sc. / Part-time / Blended,"214,575,465 IRR / year"
Advanced Materials for Innovation and Sustainability (AMIS),EIT RawMaterials Academy,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
Population-Based Medicine,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Advanced Quantum Physics,University of Kaiserslautern-Landau,M.Sc. / Full-time / On Campus,Free
Financial Engineering,University of Kaiserslautern-Landau,M.Sc. / Part-time / Blended,"214,575,465 IRR / year"
German-US-Dual-Degree,School of International Business and Entrepreneurship (SIBE),Master / Full-time / On Campus,"16,763,708 IRR / module"
Mathematical Physics,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Management and Marketing,Freie Universität Berlin,M.Sc. / Full-time / On Campus,Free
Rural Development,Humboldt University Berlin,M.Sc. / Full-time / On Campus,"431,066,782 IRR / year"
Popular Music Practice,BIMM University,"M.A. / Full-time, Part-time / On Campus","909,441,273 IRR / year"
"Biodiversity, Ecology and Evolution",University of Greifswald,M.Sc. / Full-time / On Campus,Free
Mathematical Modelling (MathMods Joint),University of L´Aquila,M.Sc. / Full-time / On Campus,"47,896,309 IRR / year"
Slavery Studies,University of Bonn,M.A. / Full-time / On Campus,Free
Purchasing and supply management,Technische Hochschule Nürnberg,Master / Full-time / On Campus,"279,235,482 IRR / year"
Labour Policies and Globalisation,Berlin School of Economics and Law,M.A. / Full-time / On Campus,Free
Sustainable Mining and Remediation Management,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,Free
Finance,Goethe Business School,M.Sc. / Part-time / On Campus,"490,937,168 IRR / year"
MBA Finance and Accounting (On-Campus),IU International University of Applied Sciences,M.B.A. / Full-time / On Campus,Free
"Sports, Exercise and Human Performance",University of Münster,M.Sc. / Full-time / On Campus,"247,719,711 IRR / year"
"Purchasing and logistics, supply chain management",Technische Hochschule Nürnberg,Master / Full-time / On Campus,Free
Electrical Systems Engineering,University of Paderborn,M.Sc. / Full-time / On Campus,Free
Culture and Environment in Africa,University of Cologne,M.A. / Full-time / On Campus,Free
Oral Implantology,Goethe University Frankfurt,M.Sc. / Part-time / On Campus,"766,340,946 IRR / year"
Groundwater Management,TU Bergakademie Freiberg,M.Sc. / Full-time / On Campus,Free
Development and Governance,University of Duisburg-Essen,M.A. / Full-time / On Campus,Free
Environmental and Resource Economics,University of Kiel,M.Sc. / Full-time / On Campus,Free
"Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)",University of Stuttgart,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
Physics,University of Hamburg,M.Sc. / Full-time / On Campus,Free
Biotechnology,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Master in Management and Public Affairs HEC - FU Berlin Double Degree,HEC Paris,Master / Full-time / On Campus,"1,135,142,526 IRR / year"
Public Policy,University of Erfurt,Master / Full-time / On Campus,"182,005,975 IRR / year"
Linguistics - Empirical and Theoretical Foundations,University of Potsdam,M.Sc. / Full-time / On Campus,Free
International Physics Studies,Leipzig University,"M.Sc. / Full-time, Part-time / On Campus","33,527,416 IRR / year"
Molecular Medicine,University of Tübingen,Master / Full-time / On Campus,"143,688,927 IRR / year"
Integrated Natural Resource Management,Humboldt University Berlin,M.Sc. / Full-time / On Campus,Free
Food Biotechnology,University of Hohenheim,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
International Horticulture,Leibniz University Hannover,Master / Full-time / On Campus,"41,095,033 IRR / year"
International Finance,Berlin School of Economics and Law,M.Sc. / Full-time / On Campus,Free
Corporate Management and Economics,Zeppelin University,M.Sc. / Full-time / On Campus,"699,286,113 IRR / year"
Innovation Management,Hamburg School of Business Administration (HSBA),M.Sc. / Part-time / On Campus,"431,066,782 IRR / year"
Chemistry,TU Dresden,"M.Sc. / Full-time, Part-time / On Campus",Free
International Finance,Berlin School of Economics and Law,M.Sc. / Full-time / On Campus,Free
Materials Chemistry and Catalysis,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Tropical Hydrogeology and Environmental Engineering,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
Interdisciplinary Research,Zeppelin University,M.A. / Full-time / On Campus,"699,286,113 IRR / year"
